Site,Observer,Subpoint,VOR,PDB,DBHt,PW,WHt,PE,EHt,PA,AHt,PH,HHt,PL,LHt,PB
BunkerHill27,RA,1,6,3,5.2,0,0,4,2.9,0,0,4,3,0,0,0
BunkerHill27,RA,2,4.5,2,3.1,3,4.7,3,4.1,0,0,3,3.5,2,1,0
BunkerHill27,RA,3,2,4,5.5,1,5.8,3,3.9,0,0,3,7.5,0,0,0
BunkerHill27,RA,4,2.5,3,6.2,0,0,3,4,0,0,4,5,0,0,0
BunkerHill27,RA,5,4,4,5.4,0,0,3,3.5,0,0,4,3.7,0,0,0
BunkerHill27,JT,6,2,3,4,0,0,3,4.1,0,0,2,3.5,0,0,0
BunkerHill27,JT,7,5.5,3,5.2,2,6.3,2,2.6,0,0,4,5.8,0,0,0
BunkerHill27,JT,8,4,2,4.4,1,4.1,2,4.3,0,0,5,8.2,0,0,0
BunkerHill27,JT,9,3.5,2,5.7,1,5.7,2,5.2,0,0,4,6.9,0,0,0
BunkerHill27,JT,10,3.5,2,4.8,0,0,1,1.7,0,0,5,5.7,0,0,0
BunkerHill26,RA,1,2,2,3.6,2,1,3,2.3,0,0,3,3,0,0,0
BunkerHill26,RA,2,4.5,3,6,2,6.1,2,4.5,0,0,4,4.1,0,0,0
BunkerHill26,RA,3,2,3,3.1,2,3,2,1.4,0,0,5,2.9,0,0,0
BunkerHill26,RA,4,1,2,5,2,0.9,4,1.5,0,0,3,3.4,0,0,0
BunkerHill26,RA,5,2,3,2.9,1,0.8,3,2,0,0,4,3,0,0,0
BunkerHill26,JT,6,2,1,1.2,1,0.6,1,2.7,0,0,4,4.7,0,0,0
BunkerHill26,JT,7,2.5,2,2.1,1,0.4,2,2.7,0,0,5,5.2,0,0,0
BunkerHill26,JT,8,2.5,3,3.8,0,0,1,2.2,0,0,3,5.8,0,0,1
BunkerHill26,JT,9,2,1,2.4,1,1.7,1,1.8,0,0,5,5.2,0,0,0
BunkerHill26,JT,10,1,0,0,0,0,1,2.1,0,0,4,4.1,0,0,0
BunkerHill25,RA,1,4.5,1,1.1,2,2.7,1,2.8,0,0,4,3.9,0,0,0
BunkerHill25,RA,2,3,1,1,2,0.8,2,2.3,0,0,5,3.1,0,0,0
BunkerHill25,RA,3,1,0,0,1,0.7,2,1.5,0,0,4,2.1,2,0.2,0
BunkerHill25,RA,4,2,2,2.3,2,2.5,2,0.5,0,0,4,3.5,0,0,0
BunkerHill25,RA,5,3.5,2,1.5,2,1.1,2,2,0,0,5,2.9,0,0,0
BunkerHill25,JT,6,1,2,1.2,2,2.7,3,1.2,0,0,2,2.2,3,0.4,0
BunkerHill25,JT,7,4,3,3.4,1,0.6,2,3.7,0,0,3,5.5,0,0,0
BunkerHill25,JT,8,2,3,3.4,2,2.4,2,1.7,0,0,3,4.1,0,0,0
BunkerHill12,JT,9,3.5,0,0,0,0,0,0,6,31.5,4,4.6,0,0,0
BunkerHill12,JT,10,2,0,0,0,0,0,0,6,28.5,3,3.1,0,0,0
BunkerHill13,RA,1,19,0,0,4,0.4,1,1.5,0,0,2,1.3,0,0,2
BunkerHill13,RA,2,19,0,0,2,10.5,0,0,4,11.7,1,3.5,0,0,3
BunkerHill13,RA,3,19,2,3.3,4,5.6,2,2.7,2,5.5,1,2.5,0,0,0
BunkerHill13,RA,4,19,1,7,5,9.3,2,3.7,0,0,1,3.9,0,0,0
BunkerHill13,RA,5,19,1,2,2,4.8,1,2.2,3,10.4,3,2.9,0,0,3
BunkerHill13,JT,6,2.5,2,4.6,2,4.1,2,3.8,0,0,2,3.9,0,0,0
BunkerHill13,JT,7,1,0,0,2,0.3,2,1.4,0,0,3,2.1,0,0,0
BunkerHill13,JT,8,2.5,2,3,1,1.2,2,2.4,0,0,4,4.5,0,0,0
BunkerHill13,JT,9,1,1,1.3,2,0.7,2,2.2,0,0,4,3.1,0,0,0
BunkerHill13,JT,10,0.5,1,1.5,3,2.5,2,2.9,0,0,3,4.1,0,0,0
BunkerHill14,RA,1,0.5,0,0,1,0.7,3,1.3,0,0,3,2,1,0.1,0
BunkerHill14,RA,2,1,1,0.8,1,0.5,3,1.5,0,0,3,6.2,2,0.3,0
BunkerHill14,RA,3,2.5,2,2.5,2,2.4,4,2.2,0,0,2,2,1,0.1,0
BunkerHill14,RA,4,1,3,1.5,1,1.7,3,1.8,0,0,3,3.5,1,0.5,0
BunkerHill14,RA,5,1.5,4,1.8,1,1.6,3,0.7,0,0,3,2.5,1,0.4,0
BunkerHill14,JT,6,0.5,0,0,0,0,2,1.5,0,0,2,3,0,0,0
BunkerHill14,JT,7,1,1,1.4,1,0.8,3,1.4,0,0,4,3.2,0,0,0
BunkerHill14,JT,8,1,1,0.9,2,1.1,2,1,0,0,4,3.1,0,0,0
BunkerHill14,JT,9,1.5,2,1.7,2,2.5,3,2,0,0,2,2.3,0,0,0
BunkerHill14,JT,10,3.5,3,5.4,0,0,2,3.2,0,0,1,2.5,0,0,0
BunkerHill15,RA,1,0,0,0,0,0,3,0.2,0,0,1,1,4,0.2,0
BunkerHill15,RA,2,0,0,0,1,0.1,4,0.5,0,0,1,1.2,3,0.1,1
BunkerHill15,RA,3,0,0,0,0,0,3,0.2,0,0,1,1.6,4,0.4,0
BunkerHill15,RA,4,0,0,0,0,0,4,0.3,0,0,1,1.6,3,0.4,0
BunkerHill15,RA,5,0,0,0,0,0,3,0.4,0,0,1,0.5,4,0.3,0
BunkerHill15,JT,6,0,0,0,0,0,4,0.5,0,0,0,0,3,0,1
BunkerHill15,JT,7,0,0,0,0,0,3,0.7,0,0,1,0.6,2,0.2,2
BunkerHill15,JT,8,0,0,0,0,0,4,0.6,0,0,1,1.3,3,0.1,2
BunkerHill15,JT,9,0,0,0,0,0,3,0.6,0,0,1,0.2,2,0.2,2
BunkerHill15,JT,10,0,0,0,0,0,2,0.7,0,0,1,0.9,3,0.1,3
BunkerHill16,RA,1,2,2,2.4,2,2.5,0,0,0,0,4,3.1,0,0,0
BunkerHill16,RA,2,2.5,3,2.3,1,1,2,1.5,0,0,4,4.6,1,0.3,0
BunkerHill16,RA,3,1,3,2.7,1,0.8,3,1.2,0,0,4,3.1,1,0.1,0
BunkerHill16,RA,4,1,1,1.2,2,1.9,2,1.4,0,0,4,3.4,1,0.3,0
BunkerHill16,RA,5,3,1,1,2,2.4,1,1.1,0,0,4,3.4,0,0,0
BunkerHill16,JT,6,3,2,3.6,2,1.9,2,2.1,0,0,3,6.5,0,0,0
BunkerHill16,JT,7,4,2,3.9,2,3.2,2,2.5,0,0,3,6.7,0,0,0
BunkerHill16,JT,8,2.5,1,3.2,1,1.6,3,1.7,0,0,3,5.7,0,0,0
BunkerHill16,JT,9,2,1,2.3,3,4.6,0,0,0,0,4,4.3,0,0,0
BunkerHill16,JT,10,1,1,0.8,2,0.7,1,0.2,0,0,5,3.6,0,0,0
BunkerHill17,RA,1,1.5,1,1.5,3,2.3,0,0,0,0,3,3,0,0,0
BunkerHill17,RA,2,1,2,2.8,2,0.9,2,1.5,0,0,4,3,1,0.2,0
BunkerHill17,RA,3,2,3,3.4,2,2.3,2,1.1,0,0,2,1.5,1,0.2,0
BunkerHill17,RA,4,4.5,1,3.5,4,5.8,0,0,0,0,3,4.7,0,0,0
BunkerHill17,RA,5,6,1,0.9,1,1.5,4,2.2,0,0,4,2.9,0,0,0
BunkerHill17,JT,6,3.5,2,3.5,2,3.6,1,3.8,0,0,5,5.4,0,0,0
BunkerHill17,JT,7,1,1,1.6,1,1,2,1.6,0,0,4,4.7,0,0,0
BunkerHill17,JT,8,3,4,4.1,2,4.4,2,4.2,0,0,1,6.9,0,0,0
BunkerHill17,JT,10,1,3,2.6,0,0,3,2,0,0,3,3.5,0,0,0
BunkerHill17,JT,9,1,2,2.3,1,2,3,2.4,0,0,2,3.1,1,0.4,0
BunkerHill25,JT,9,3.5,1,2.4,2,3.2,2,2.7,0,0,3,4.9,0,0,0
BunkerHill25,JT,10,5,2,3.7,2,5.8,2,4.8,0,0,3,6.3,0,0,1
BunkerHill24,RA,1,2,2,2.2,0,0,4,2.4,0,0,4,2.5,0,0,0
BunkerHill24,RA,2,2,3,2.1,2,4.5,4,1.6,0,0,4,2.7,0,0,0
BunkerHill24,RA,3,1,3,2.6,0,0,4,2,0,0,4,3.6,0,0,0
