,attack_type,id,legs,localized_name,name,primary_attr,roles
0,Melee,1,2,Anti-Mage,npc_dota_hero_antimage,agi,"['Carry', 'Escape', 'Nuker']"
1,Melee,2,2,Axe,npc_dota_hero_axe,str,"['Initiator', 'Durable', 'Disabler', 'Jungler']"
2,Ranged,3,4,Bane,npc_dota_hero_bane,int,"['Support', 'Disabler', 'Nuker', 'Durable']"
3,Melee,4,2,Bloodseeker,npc_dota_hero_bloodseeker,agi,"['Carry', 'Disabler', 'Jungler', 'Nuker', 'Initiator']"
4,Ranged,5,2,Crystal Maiden,npc_dota_hero_crystal_maiden,int,"['Support', 'Disabler', 'Nuker', 'Jungler']"
5,Ranged,6,2,Drow Ranger,npc_dota_hero_drow_ranger,agi,"['Carry', 'Disabler', 'Pusher']"
6,Melee,7,2,Earthshaker,npc_dota_hero_earthshaker,str,"['Support', 'Initiator', 'Disabler', 'Nuker']"
7,Melee,8,2,Juggernaut,npc_dota_hero_juggernaut,agi,"['Carry', 'Pusher', 'Escape']"
8,Ranged,9,2,Mirana,npc_dota_hero_mirana,agi,"['Carry', 'Support', 'Escape', 'Nuker', 'Disabler']"
9,Ranged,10,0,Morphling,npc_dota_hero_morphling,agi,"['Carry', 'Escape', 'Durable', 'Nuker', 'Disabler']"
10,Ranged,11,0,Shadow Fiend,npc_dota_hero_nevermore,agi,"['Carry', 'Nuker']"
11,Melee,12,2,Phantom Lancer,npc_dota_hero_phantom_lancer,agi,"['Carry', 'Escape', 'Pusher', 'Nuker']"
12,Ranged,13,2,Puck,npc_dota_hero_puck,int,"['Initiator', 'Disabler', 'Escape', 'Nuker']"
13,Melee,14,2,Pudge,npc_dota_hero_pudge,str,"['Disabler', 'Initiator', 'Durable', 'Nuker']"
14,Ranged,15,0,Razor,npc_dota_hero_razor,agi,"['Carry', 'Durable', 'Nuker', 'Pusher']"
15,Melee,16,6,Sand King,npc_dota_hero_sand_king,str,"['Initiator', 'Disabler', 'Support', 'Nuker', 'Escape', 'Jungler']"
16,Ranged,17,2,Storm Spirit,npc_dota_hero_storm_spirit,int,"['Carry', 'Escape', 'Nuker', 'Initiator', 'Disabler']"
17,Melee,18,2,Sven,npc_dota_hero_sven,str,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']"
18,Melee,19,2,Tiny,npc_dota_hero_tiny,str,"['Carry', 'Nuker', 'Pusher', 'Initiator', 'Durable', 'Disabler']"
19,Ranged,20,2,Vengeful Spirit,npc_dota_hero_vengefulspirit,agi,"['Support', 'Initiator', 'Disabler', 'Nuker', 'Escape']"
20,Ranged,21,2,Windranger,npc_dota_hero_windrunner,int,"['Carry', 'Support', 'Disabler', 'Escape', 'Nuker']"
