song,year,artist,genre,lyrics,length,commas,exclamations,colons,hyphens
the-ownerz,2007,gangstarr,Hip-Hop,"""One-two..""
""One-two, shots to the chin.. knock you out""
""One-two.."" ""Devestating!"" ""On da mic""
""One-two.."" ""The maker, owner!""
""Come on, now come on""
Got you quiddear and ski-dared, fearin what we might do
And you can give me all mine in cash, that will suffice dude
In the streets deep, we roll through the city
Looks like it's time to eat, so yo who's with me?
Strictly, we keep it in the best perspective
Cause nowadays it's more than simply live and let live
A sedative, that's what these headcases need
Them rats'll get trapped soon as they taste the cheese
Black M. Casey fan, just pay us and scram
Watch us drop a new supply to up the daily demand
Phony critics want to retract shit, once I spit again
And since we didn't finish the job, you gettin hit again
""One-two.."" ""Devestating!"" ""On da mic""
""One-two, one-two, shots to the chin.. knock you out""
""One-two.."" ""Devestating!"" ""On da mic""
""One-two, one-two"" ""The maker, owner!""
""Come on, now come on""
You fuck, you didn't listen when I told you before
When it comes to dope tracks, we be holdin the raw
Do somethin stupid, and you'll be left holdin your jaw
Put you punks on blast for not knowin the law
Don't deny yourself, learn to apply yourself
Or end up by yourself, I multiply the wealth
I got the titles, deeds, licenses and policies",1300,24,5,0,11
dead-sound-of-misery,2006,blind-guardian,Metal,"It's dark
Let's do it now
Bring in the sirens
Cut of their tongues
Do it now
Ignore their cries
Ignore their cries
Now close the door
And leave it
Nothing went wrong
The Archangel is falling
Mourners split
Take heart of grace
A ghostly candle light
Lit my room at night
Son of man
We're breeding wastelands
Wastelands
The blood of Sirens
On my hands
I can't wash away
Still it pours
And stains our land
In bitterness
So cruel
Will ages go by
Dead sound of misery
Come share our sorrows
Be one with the Hydra
It's drown or burn
I'm exploring bedlam
The time is right to move
Furthermore
Bring out the dead
Turn your back
On the ones you have loved
Enjoy the heat of your whore
Babylon
Hear what the spirit says
There is no sense at all
Now come with me
Unfold the seals
No sense at all
No sense at all
There is not sense at all
So many times I have failed
Pure desperation
Still hear the cries
Of voices
Long gone by
They've gone abroad
And left this world behind
Leave me behind
Behind the walls I'm crying
The blood of Sirens
On my hands
I can't wash away
Still it pours
And stains our land
In bitterness
So cruel
Will ages go by
Dead sound of misery
Come share our sorrows
Be one with the Hydra
So many times I have failed
Pure desperation
Still hear the cries
Of voices
Long gone by
They've gone abroad
And left this world behind
Leave me behind
Behind the walls I'm crying
The blood of Sirens
On my hands
I can't wash away
Still it pours
And stains our land
In bitterness
So cruel
Will ages go by
Dead sound of misery
Come share our sorrows
Be one with the Hydra",1566,0,0,0,0
modred-s-song,2006,blind-guardian,Metal,"I've lost my battle before it starts
my first breath wasn't done
my spirit's sunken deep
into the ground
why am I alone
I can hear my heartbeat
silence's all around
See hat will rise
so don't come closer
fear your child
born with a king's heart
but fate fooled me
and changed my cards
noone asked if I want it
if I like it
Ref.:
Pain inside is rising
I am the fallen one
a figure in an old game
no Joker's on my side
I plunged into misery
I'll turn off the light
and murder the dawn
turn off the light
and murder the dawn
Nothing else,
but laughter is around me
forevermore
noone can heal me
nothing can save me
noone can heal me
I've gone beyond the truth
it's just another lie
wash away the blood on my hands
my father's blood
in agony we're unified
I never wanted to be
what they told me to be
fulfill my fate then I'll be free
god knows how long
I tried to change fate
(Solo)
Ref.
(Solo)
I plunged into misery
I'll turn off the light
and murder the dawn
turn off the light
and murder the dawn",996,1,0,1,0
the-ninth-wave,2015,blind-guardian,Metal,"As dark night embraces
We are the nation
I will cleanse all your thoughts
We will cleanse them all
Now, my children
For the sake of our nation
Let us carry on
In glory
When dark night embraces
We are the nation
Be my fellowmen
We will wipe them out
Let there be light
For the sake of our nation
Precious and bright
When dark night embraces my mind
A twisted plan
After all
Despite all burden
Life has grown
And though the curse is still alive
File 664
The golden age's vanished and more
The ingenious knight knows it's over
He no longer denies there's a real me
He'll be disgraced
Burnt and sealed
They may end
As we will rule the world
Defeat the dying old Crow
Let this fire burn
Sail on till you reach the promised land
We all drown in the fifth dimension
The ninth wave
I can feel it's coming
The ninth wave
Sail on till you reach the promised land
We all wait for a new tomorrow
We'll bring a new age
Along with the final wave
The final wave
We will rise
Burn them all, bring the damned
There's a price to pay
Burn them all, bring the damned
Do as I command
Our praise and triumph will grow
We'll defy the Nine
Delete the dying old Crow
To Muriel's fire, walk with me
Down to the Abaddon
Will you walk with me to the Sheol?
Good or bad we all meet the Abaddon
Take a look and you see it's all the same
Imaginations
Exterminate them
Imaginations
Exterminate them
An evil revelation
A wicked thought
Denied by their savior
They all prayed for
Salvation
There are no gods
So no one can save them
Until
They will redeem Belial
They will unite them all
Then many men will fall
When they will heed the call
So they'll be free
Before the final curtain falls
Belial
Bring the cursed
Bring the damned
As we will rule the world
They'll seek the dying old Crow
Let this fire burn
Sail on till you reach the promised land
We all drown in the fifth dimension
The ninth wave
I can feel it's coming
The ninth wave
Sail on till you reach the promised land
We all wait for a new tomorrow
We'll bring a new age
Reborn as aeon gods
As aeon gods
We'll break through
Further down you'll walk with me
Down to seal Avalon
Will you walk with me to the fire?
Further down we come to seal Avalon
Take a look and you see it's all the same
Imaginations
Exterminate them
Imaginations
Exterminate them
There is no real salvation
We will wipe them out
And nothing remains here
As we don't need salvation
We will not fade
Forever we'll stay here
Screams come from the inside
The king is gone, but
This war is not over
Burnt and sealed they may end
As we will rule the world
Delete the dying old Crow
Let this fire burn
Sail on till you reach the promised land
We all drown in the fifth dimension
The ninth wave
I can feel it's coming
The ninth wave
Sail on till you reach the promised land
We all wait for a new tomorrow
We'll bring a new age
Reborn as aeon gods
As aeon gods
We'll break through",2868,5,0,0,0
skills,2014,gangstarr,Hip-Hop,"Skills, skills, skills
""My Microphone""
""It's Skills""-KRS One
""The funky beat""
""It's skills""-KRS One
(Skills) Top rank point blank we vital
Spit flows rip shows peep the recital
(Skills) Now, you feel it when we drop those
Hot beats stop phoes killin shit we got those
(Skills) It's, the music that the street love
Each thug, is now reppin this with deep love
(Skills) Gang Starr duelin again rulin again
Watch as we do it again
It's the, true enliven with a youthful vengeance
And I'm a judge rap is your ass give you a crucial sentence
You need at least twelve jewels to practice
Your too enthusiastic male groupie bastard
Still tryin to convince us some more
Pretendin your raw that's what you need a minister for
Again it's the law got you up against the wall
We the gulliest fuck it then it's us against why'all
Mic skills type grills like I'm Michael Jill
Like when he write for the pill is how I stay for the ill
Slide off kid, and let a grown man finesse it
We bold and impressive that old manifest shit
Some new product from a known team
Niggas know me, and you can bet they know Preme
So here we go for your stereo
And you could tell that it's real when you hear me go hear me go
(Skills) Top rank point blank we vital
Spit flows rip shows peep the recital
(Skills) Now, you feel it when we drop those
Hot beats stop phoes killin shit we got those
(Skills) It's, the music that the street love
Each thug, is now reppin this with deep love
(Skills) Gang Starr duelin again rulin again
Watch as we do it again
You little suckers know better, I go head up
If your man left the joint in the whip then tell him go get it
We hold it down like a holy crown
Fools actin like they know me throw me phoney pounds
Fuck that I'm sittin back like an aristocrat
Shell shocked chief assassin with a whole fuckin list of cats
Thought you was on the case but you missed the fact
The bitch talkin this and that I'm a make it simple jack
I doubled up and tripled that, soldiers where your pistols at?
Life wrong move lose the gift of that
Why they callin us the most consistent?
Most significant (""Once again""-Chuck D) some old slick shit
Fulfill your need and catch joyful rush
Enjoy your dutch haters annoyed with us
Oh boy it's us you know the face in the club
Blazin it up, with my niggas raisin it up for these
(Skills) Top rank point blank we vital
Spit flows rip shows peep the recital
(Skills) Now, you feel it when we drop those
Hot beats stop phoes killin shit we got those
(Skills) It's, the music that the street love
Each thug, is now reppin this with deep love
(Skills) Gang Starr duelin again rulin again
Watch as we do it again
Btohers are amused by other brother's rep
Some niggas pull tecks catch others for checks
All for respect, all for the bread
For the chance of success they might hand him his head
Remain humble cause I know enough
Plus the road is tough especially when you roll with us
But I'm a stay with my peeps, stay in these streets
Rhyme sprayin and I'm playin for keeps cause I got those
(Skills) Top rank point blank we vital
Spit flows rip shows peep the recital
(Skills) Now, you feel it when we drop those
Hot beats stop phoes killin shit we got those
(Skills) It's, the music that the street love
Each thug, is now reppin this with deep love
(Skills) Gang Starr duelin again rulin again
Watch as we do it again....(Skills)",3351,22,0,0,3
werdz-from-the-ghetto-child,2007,gangstarr,Hip-Hop,"[Smiley] Aiyyo I got the dimes that I get, I got the dimes that I bring
[Preem'] Yo, yo yo
[Smiley] Yo Preem', what's good?
[Preem'] What's good man - you still fuckin with that shit son?
[Smiley] Yo, don't even come at me with that bullshit man, whassup?
[Preem'] I'm sayin man, you said you was gonna leave this shit alone
[Preem'] You still on that bullshit nigga
[Smiley] Son.. SON I'll leave it alone
[Smiley] when you come and get ready with this music B, what the fuck?
[Preem'] I'm sayin man, who the fuck you think you are man?
[Smiley]
Yo, yo
Yo gangsta gangsta, O.G. is what you call me
It's like my life is like a never-endin drug story
Make coke, expand, yo you know who I am
Death percentages rises in the hood like grams
Who done it and ran, who blammed on my fam'
Out the window every night, deadly intentions man
Cocked back and ready to fire, hit man for hire
And fuck politicians, nothin but liars
As I build my cream, with self esteem
But drink the water from the streams, of gangsta lean
To keep food on my plate, stick a mac to your face
So I never have to fall off, so you can never underrate
Force pressure, is the techniques of real men
So when you slam the doors, we still get in
It's like demons when, what you fight that you can't see'll
come out your buildin, and get shot drastically
The way of the world, niggaz fiendin to pull it
You either bite the dust, or just dodge that bullet",1413,26,0,0,2
givin-a-little-bit-more,2006,abba,Pop,"There's a gentleness to everything you do
And it's rubbing off on me I feel it too
I've been waiting but my loneliness I get
When you call me on the phone
And I'm feeling so alone
When you ask me to come over
Baby you know I will
I could never stay on my own
Givin' it all I got to give
I've never done that before
I'm always givin' a little more
When I'm with you
Givin' it all I got to give
I've never done that before
I'm always givin' a little more
When I'm with you
I'm always givin' a little more
When I'm with you
Givin' it all I got to give
I've never done that before
I'm always givin' a little more
When I'm with you
Givin' it all I got to give
I've never done that before
I'm always givin' a little more",714,0,0,0,0
nina-pretty-ballerina,2006,abba,Pop,"Every day in the morning on her way to the office
You can see her as she catches a train
Just a face among a million faces
Just another woman with no name
Not the girl you'd remember but she's still something special
If you knew her I am sure you'd agree
'Cause I know she's got a little secret
Friday evening she turns out to be
Nina, pretty ballerina
Now she is the queen of the dancing floor
This is the moment she's waited for
Just like Cinderella
(just like Cinderella)
Nina, pretty ballerina
Who would ever think she could be this way
This is the part that she likes to play
But she knows the fun would go away
If she would play it every day
So she's back every morning to her work at the office
And another week to live in a dream
And another row of early mornings
In an almost never-ending stream
Doesn't talk very often, kind of shy and uncertain
Everybody seems to think she's a bore
But they wouldn't know her little secret
What her Friday night would have in store
Nina, pretty ballerina
Now she is the queen of the dancing floor
This is the moment she's waited for
Just like Cinderella
(just like Cinderella)
Nina, pretty ballerina
Who would ever think she could be this way
This is the part that she likes to play
She would like to play it every day",1263,5,0,0,1
don-t-break-the-circle,2007,blind-guardian,Metal,"Don't break the circle
Don't break the circle
Don't break the circle
Don't break the circle
Concentrate, I'm your contact link across the great divide
Many voices in my ear hold on
I think there's something coming through from the other side
It's for all those who believe
The chain is stronger if the lifeline is unbroken
So beware the presence of 'The Unexpected Guest'
Don't break the circle
Don't break the circle
Don't break the circle
Don't break the circle
Unexplained, many things we thought were lost may come to light
On a higher plain in the spirit world
Where only a few of us possess the second sight
Now the messenger awaits
The chain is stronger if the lifeline is unbroken
So beware the presence of 'The Unexpected Guest'
Don't break the circle
Don't break the circle
Don't break the circle
Don't break the circle must keep going on and on
But wait, is there one amongst us here who disbelieves?
A stranger to the sign take care
For all the things you fear may be revealed
Within the forces of the night
The chain is stronger if the lifeline is unbroken
So beware the presence of 'The Unexpected Guest'
Don't break the circle
Don't break the circle
Don't break the circle
Don't break the circle
Don't break the circle
Don't break the circle
Don't break the circle
Don't break the circle
The circle must keep going on and on
Yes the circle must keep going on and on
Don't break",1392,3,0,0,0
the-name-of-the-game,2001,abba,Pop,"I've seen you twice, in a short time
Only a week since we started
It seems to me, for every time
I'm getting more open-hearted
I was an impossible case
No-one ever could reach me
But I think I can see in your face
There's a lot you can teach me
So I wanna know
What's the name of the game?
Does it mean anything to you?
What's the name of the game?
Can you feel it the way I do?
Tell me please, 'cause I have to know
I'm a bashful child, beginning to grow
And you make me talk
And you make me feel
And you make me show
What I'm trying to conceal
If I trust in you, would you let me down?
Would you laugh at me, if I said I care for you?
Could you feel the same way too?
I wanna know
The name of the game
I have no friends, no-one to see
And I am never invited
Now I am here, talking to you
No wonder I get excited
Your smile, and the sound of your voice
And the way you see through me
Got a feeling, you give me no choice
But it means a lot to me
So I wanna know
What's the name of the game? (Your smile and the sound of your voice)
Does it mean anything to you? (Got a feeling you give me no choice)
(But it means a lot)
What's the name of the game? (Your smile and the sound of your voice)
Can you feel it the way I do?
Tell me please, 'cause I have to know
I'm a bashful child, beginning to grow
And you make me talk
And you make me feel
And you make me show
What I'm trying to conceal
If I trust in you, would you let me down?
Would you laugh at me, if I said I care for you?
Could you feel the same way too?
I wanna know
Oh yes I wanna know
The name of the game (I was an impossible case)
Does it mean anything to you? (But I think I can see in your face)
(That it means a lot)
What's the name of the game? (Your smile and the sound of your voice)
Can you feel it the way I do? (Got a feeling you give me no choice)
(But it means a lot)
What's the name of the game? (I was an impossible case)
Does it mean anything to you? (But I think I can see in your face)
(That it means a lot)",1986,14,0,0,3
who-s-gonna-take-the-weight,2008,gangstarr,Hip-Hop,"I was raised like a Muslim
Prayin' to the east
Nature of my life relates rhymes i release
Like a cannon
'Cause i been plannin' to be rammin' what i wrote
Straight on a plate down your throat
So digest as i suggest we take a good look
At who's who while i'm readin' from my good book
And let's dig into every nook and every cranny
Set your mind free as i slam these thoughts
And just like a jammy goes pow
You're gonna see what I'm sayin' now
You can't be sleepin'
'Cause things are gettin' crazy
You better stop being lazy
There's many people frontin'
And many brothers droppin'
All because of dumb things, let me tell you somethin'
I've been through so much that I'm such
A maniac, but i still act out of faith
That we can get the shit together so i break
On fools with no rhymes skills messin' up the flow
And people with no sense who be movin' much too slow
And so, you will know the meaning of the Gang Starr
Guru with the mic and premier raise the anchor
Swiftly, as we embark on a journey
I had to get an attorney
I needed someone to defend my position
Decisions i made, 'cause now it's time to get paid
And ladies, these rhymes are like the keys to a dope car
Maybe a Lexus or a Jaguar
Still, all of that is just material
So won't you dig the scenario
And just imagine if each one is teachin' one
We'll come together so that we become
A strong force, then we can stay on course
Find your direction through introspection
And for my people out there i got a question
Can we be the sole controllers of our fate?
Now who's gonna take the weight?
The weight of the world is heavy on my mind
So as my feelings unwind i find
That some try to be down just 'cause it's trendy
Others fall victim to envy
But I'll take the road less traveled
So i can see all my hopes and my dreams unravel
Relievin' your stress, expressin' my interest
In the situation that you're facin'
That's why I'm down with the nation
Spirituality supports reality
We gotta fight with the right mentality
So we can gain what is rightfully ours
This is the meaning of the chain and the star
Land is power, so gimme forty acres
Let's see how far i can take ya
Original invincible
That's how I'm lookin' at it
I use my rhymes like a glock automatic
Any means necessary, I'm goin' all out
Before the rains bring the nuclear fallout
So let me ask you, is it too late?
Ayo, who's gonna take the weight?",2365,13,0,0,0
