Region_ID,Region,Region_eng,Population,Rus_perc,Urban_pop,Urban_pop_perc,Rural_pop,Rural_pop_perc,Area,Density_pop_sqkm,Federal_district,Latitude,Longitude
0,Россия,Russia,146745098,100,109326899,"74,5",37553533,"25,59",17125191,"8,57",РФ,64.6863136,97.7453061
77,Москва,Moscow,12692466,"8,65",12342615,"97,24",163853,"1,29",2561,"4956,06",ЦФО,55.479204599999996,37.3273304
50,Московская область,Moscow region,7687647,"5,24",6123573,"79,65",1379812,"17,95",44329,"173,42",ЦФО,55.50431579999999,38.0353929
23,Краснодарский край,Krasnodar region,5677786,"3,87",3075168,"54,16",2528252,"44,53",75485,"75,22",ЮФО,45.768401399999995,39.0261044
78,Санкт-Петербург,St. Petersburg,5392992,"3,68",5351935,"99,24",0,0,1403,"3843,9",СЗФО,59.960673899999996,30.158655100000004
66,Свердловская область,Sverdlovsk region,4310861,"2,94",3666856,"85,06",658400,"15,27",194307,"22,19",УФО,58.6414755,61.802154599999994
61,Ростовская область,Rostov region,4195327,"2,86",2871412,"68,44",1349040,"32,16",100967,"41,55",ЮФО,47.6222451,40.7957942
2,Республика Башкортостан,Republic of Bashkortostan,4037811,"2,75",2522024,"62,46",1541269,"38,17",142947,"28,25",ПФО,54.4747553,55.978458200000006
16,Республика Татарстан,Republic of Tatarstan,3902642,"2,66",2990569,"76,63",903715,"23,16",67847,"57,52",ПФО,55.44821700000001,50.4763591
74,Челябинская область,Chelyabinsk region,3466960,"2,36",2888662,"83,32",604374,"17,43",88529,"39,15",УФО,54.4223954,61.1865846
52,Нижегородская область,Nizhny Novgorod Region,3203818,"2,18",2572539,"80,3",662213,"20,67",76624,"41,81",ПФО,55.47180329999999,44.091159399999995
63,Самарская область,Samara Region,3179026,"2,17",2554179,"80,34",639335,"20,11",53565,"59,35",ПФО,53.2128813,50.8914633
5,Республика Дагестан,The Republic of Dagestan,3111353,"2,12",1383676,"44,47",1680209,54,50270,"61,89",СКФО,43.057491600000006,47.1332224
24,Красноярский край,Krasnoyarsk region,2867875,"1,95",2226117,"77,62",650380,"22,68",2366797,"1,21",СФО,63.3233807,97.09799740000001
26,Ставропольский край,Stavropol region,2803021,"1,91",1636876,"58,4",1163798,"41,52",66160,"42,37",СКФО,44.863257700000005,43.4406913
54,Новосибирская область,Novosibirsk region,2798251,"1,91",2204326,"78,78",584523,"20,89",177756,"15,74",СФО,54.9720169,79.48139240000002
42,Кемеровская область,Kemerovo region,2657758,"1,81",2316706,"87,17",378171,"14,23",95725,"27,76",СФО,54.53357809999999,87.342861
59,Пермский край,Perm,2599301,"1,77",1988243,"76,49",634879,"24,42",160236,"16,22",ПФО,58.5951603,56.3159546
34,Волгоградская область,Volgograd region,2491751,"1,7",1940241,"77,87",581035,"23,32",112877,"22,07",ЮФО,49.604833899999996,44.29035820000001
64,Саратовская область,Saratov region,2421785,"1,65",1864459,"76,99",598491,"24,71",101240,"23,92",ПФО,51.652055499999996,46.86319520000001
38,Иркутская область,Irkutsk region,2390827,"1,63",1894053,"79,22",510142,"21,34",774846,"3,09",СФО,56.6370122,104.71922099999999
36,Воронежская область,Voronezh region,2323657,"1,58",1576374,"67,84",757394,"32,59",52216,"44,5",ЦФО,50.9800393,40.15065070000001
22,Алтайский край,Altai region,2317052,"1,58",1326398,"57,25",1023682,"44,18",167996,"13,79",СФО,52.693224300000004,82.69314240000001
56,Оренбургская область,Orenburg region,1956256,"1,33",1188958,"60,78",788762,"40,32",123702,"15,81",ПФО,52.026926200000005,54.7276647
55,Омская область,Omsk region,1926562,"1,31",1424332,"73,93",535749,"27,81",141140,"13,65",СФО,56.09352629999999,73.5099936
82,Республика Крым,Republic of Crimea,1912025,"1,3",974788,"50,98",938943,"49,11",26081,"73,31",ЮФО,45.1890034,34.7401104
25,Приморский край,Primorsky Krai,1895305,"1,29",1477094,"77,93",435943,23,164673,"11,51",ДВФО,45.0819456,134.726645
47,Ленинградская область,Leningrad region,1876392,"1,28",1157086,"61,67",656730,35,83908,"22,36",СЗФО,60.185329599999996,32.3925325
86,Ханты-Мансийский АО,Khanty-Mansiysk,1674086,"1,14",1528299,"91,29",126775,"7,57",534801,"3,13",УФО,60.9451642,76.6442272
31,Белгородская область,Belgorod region,1547532,"1,05",1044510,"67,5",505366,"32,66",27134,"57,03",ЦФО,50.7080119,37.5837615
72,Тюменская область,Tyumen region,1537684,"1,05",998513,"64,94",500266,"32,53",160122,"9,6",УФО,58.8206488,70.36588370000001
18,Удмуртская Республика,Udmurt republic,1501005,"1,02",995728,"66,34",517316,"34,46",42061,"35,69",ПФО,57.1961165,52.69598320000001
95,Чеченская Республика,Chechen Republic,1476752,"1,01",501179,"33,94",935802,"63,37",16165,"91,35",СКФО,43.397614700000005,45.6985005
71,Тульская область,Tula region,1466025,1,1115742,"76,11",376113,"25,66",25679,"57,09",ЦФО,53.9570701,37.369090899999996
33,Владимирская область,Vladimir region,1358538,"0,93",1077289,"79,3",301048,"22,16",29084,"46,71",ЦФО,56.0503336,40.656163299999996
27,Хабаровский край,Khabarovsk region,1315310,"0,9",1090976,"82,94",237326,"18,04",787633,"1,67",ДВФО,51.6312684,136.121524
58,Пензенская область,Penza region,1304825,"0,89",912181,"69,91",419474,"32,15",43352,"30,1",ПФО,53.1655415,44.787918100000006
43,Кировская область,Kirov region,1262549,"0,86",985180,"78,03",298058,"23,61",120374,"10,49",ПФО,57.9665589,49.4074599
69,Тверская область,Tver region,1260345,"0,86",972859,"77,19",311014,"24,68",84201,"14,97",ЦФО,57.1134475,35.174442799999994
76,Ярославская область,Yaroslavl region,1253189,"0,85",1035103,"82,6",230581,"18,4",36177,"34,64",ЦФО,57.778197600000006,39.002109499999996
73,Ульяновская область,Ulyanovsk region,1229687,"0,84",938767,"76,34",307851,"25,03",37181,"33,07",ПФО,54.146317700000004,47.2324921
21,Республика Чувашия,Chuvash Republic,1217820,"0,83",768968,"63,14",462149,"37,95",18343,"66,39",ПФО,56.1424308,47.25445429999999
32,Брянская область,Bryansk region,1192570,"0,81",850937,"71,35",360045,"30,19",34857,"34,21",ЦФО,52.887331499999995,33.415853000000006
35,Вологодская область,Vologda Region,1160721,"0,79",851560,"73,36",325129,"28,01",144527,"8,02",СЗФО,60.0391461,43.1215213
