Region_ID,Region,Region_eng,Varnames
77,Москва,Moscow,Moscow City
50,Московская область,Moscow region,Moskva|Mosca|Moscou|Moscow|Moskau|Moskova|Moskovskaya
23,Краснодарский край,Krasnodar region,Krasnodar|Cossacks of the Black Sea|Kuban|Kubanskaya|Yekaterinodar|Krasnodarskiy Kray
78,Санкт-Петербург,St. Petersburg,City of St. Petersburg|Sankt-Peterburg gorsovet
66,Свердловская область,Sverdlovsk region,Sverdlovsk|Yekaterinburg|Sverdlovskaya Oblast
61,Ростовская область,Rostov region,Rostov|Province of the Don Cossacks|Provinz des Donischen Heeres|Voyska Donskovo|Rostovskaya Oblast
2,Республика Башкортостан,Republic of Bashkortostan,Bashkortostan|Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan
16,Республика Татарстан,Republic of Tatarstan,Tatarstan|Kazan|Kazanskaya G.|Tatar A.S.S.R.|Tatarskaya A.S.S.R.|Republic of Tatarstan|Respublika Tatars
74,Челябинская область,Chelyabinsk region,Chelyabinsk|Chelyabinskaya Oblast
52,Нижегородская область,Nizhny Novgorod Region,Nizhegorod|Gor'kiy|Gor'kovskaya|Gorky|Nizhegorodskaya|Nizhniy-Novgorod|Nizhegorodskaya Oblast 
63,Самарская область,Samara Region,Samara|Kuybyshev|Kuybyshevskaya|Samarskaya Oblast
5,Республика Дагестан,The Republic of Dagestan,Dagestan|Dagestanskaya A.S.S.R.|Daghestan|Republic of Dagestan|Respublika Dagestan|Dagistan
24,Красноярский край,Krasnoyarsk region,Krasnoyarsk|Krasnoyarskiy Kray|Yeniseisk|Yeniseyskaya G.
26,Ставропольский край,Stavropol region,Stavropol'|Stavropol'skiy Kray|Stavropolskiy Kray
54,Новосибирская область,Novosibirsk region,Novosibirsk|Novosibirskaya Oblast
42,Кемеровская область,Kemerovo region,Kemerovo|Kemerovskaya Oblast
59,Пермский край,Perm,Perm'|Molotov|Permskaya Oblast
34,Волгоградская область,Volgograd region,Volgograd|Stalingrad|Volgogradskaya Oblast
64,Саратовская область,Saratov region,Saratov|Saratovskaya Oblast
38,Иркутская область,Irkutsk region,Irkutsk|Irkutskaya Oblast
36,Воронежская область,Voronezh region,Voronezh|Voronezhskaya Oblast
22,Алтайский край,Altai region,Altay|Altayskiy Kray
56,Оренбургская область,Orenburg region,Orenburg|Chkalov|Orenburgskaya|Orenburgskaya Oblast
55,Омская область,Omsk region,Omsk|Omskaya Oblast
82,Республика Крым,Republic of Crimea,Crimea|Crimée|Criméia|Krim|Krymskaya Respublika|Respublika Krym
25,Приморский край,Primorsky Krai,Primor'ye|Küsten-Gebiet|Maritime Territory|Primorsk|Primorskiy Kray
47,Ленинградская область,Leningrad region,Leningrad|Saint Petersburg|Sankt-Peterburgskaya G.|Leningradskaya Oblast
86,Ханты-Мансийский АО,Khanty-Mansiysk,Khanty-Mansiy|Khanty-Mansiysk|Khanty-Mansiyskiy A.Okr.|Khanty-Mansiyskiy A.Okr.-Yugra|Khanty-Mansiyskiy Aok
31,Белгородская область,Belgorod region,Belgorod|Belgorodskaya Oblast 
72,Тюменская область,Tyumen region,Tyumen'|Tobol'sk|Tobol'skaya G.|Tyumenskaya Oblast
18,Удмуртская Республика,Udmurt republic,Udmurt|Udmurtiya|Udmurt Republic|Udmurtskaya A.S.S.R.|Udmurtskaya Respublika 
95,Чеченская Республика,Chechen Republic,Chechnya|Cecenia|Chechenia|Chechênia|Tchetchnia|Chechen-Ingush A.S.S.R.|Checheno-Ingushetia|Checheno-Ingushetia
71,Тульская область,Tula region,Tula|Tul'skaya|Tulskaya Oblast
33,Владимирская область,Vladimir region,Vladimir|Vladimirskaya Oblast
27,Хабаровский край,Khabarovsk region,Khabarovsk|Khabarovskiy Kray
58,Пензенская область,Penza region,Penza|Penzenskaya Oblast
43,Кировская область,Kirov region,Kirov|Vyatka|Vyatskaya G.|Kirovskaya Oblast
69,Тверская область,Tver region,Tver'|Kalinin|Kalininskaya|Tverskaya Oblast
76,Ярославская область,Yaroslavl region,Yaroslavl'|Yaroslavskaya Oblast
73,Ульяновская область,Ulyanovsk region,Ul'yanovsk|Simbirsk|Simbirskaya G.|Ul'yanovskaya Oblast
21,Республика Чувашия,Chuvash Republic,Chuvash|Chuvashskaya A.S.S.R.|Chuvashskaya Respublika|Chuvashiya|Chuvash Republic
32,Брянская область,Bryansk region,Bryansk|Bryanskaya Oblast
35,Вологодская область,Vologda Region,Vologda|Vologodskaya Oblast
48,Липецкая область,Lipetsk region,Lipetsk|Lipetskaya Oblast
62,Рязанская область,Ryazan Oblast,Ryazan'|Ryazanskaya Oblast|Ryazanskaya Oblast
46,Курская область,Kursk region,Kursk|Kurskaya Oblast 
29,Архангельская область,Arkhangelsk region,Arkhangel'sk|Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast
70,Томская область,Tomsk region,Tomsk|Tomskaya Oblast
75,Забайкальский край,Zabaykalsky Krai,Zabaikalskiy Krai
39,Калининградская область,Kaliningrad region,Kaliningrad|Kaliningradskaya Oblast
68,Тамбовская область,Tambov Region,Tambov|Tambovskaya Oblast
30,Астраханская область,Astrakhan region,Astrakhan'|Astrachan|Astrakhanskaya Oblast
40,Калужская область,Kaluga region,Kaluga|Kaluzhskaya Oblast
37,Ивановская область,Ivanovo region,Ivanovo|Ivanovskaya Oblast
