number,name,name_object,date,author,address,district,protection_category,base,note,id_object
1,,Здание Консисторского управления Могилевской Римско-католической архиепархии с костелом Успения Девы Марии (Духовная семинария Римско-католической архиепархии),1870-1873; 1878-1879; 1896-1897; 1900-1902,"арх. В.И. Собольщиков, Е.С. Воротилов; арх. Е.С. Воротилов, худ. С.И. Садиков; арх. А.Д. Фиалковский; гражд. инж. Л.П. Шишко","1-я Красноармейская ул., 11, лит. А, Б",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,669
2,,Здание манежа (экзерциргауса) лейб-гвардии Измайловского полка,1795-1797,арх. Кварнеги Дж.,"1-я Красноармейская ул., 13; Измайловский пр., 2-а",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,1066
3,,"Дом, где в начале 1895 г. Ленин В.И. встречался с петербургскими социал-демократами",,,"1-я Красноармейская ул., 22",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,1
4,,Трансформаторная подстанция,1906-1907,гражд.инж. Горенберг Л.Б.,"11-я Красноармейская ул., 28",Адмиралтейский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 963 от 05.12.1988,,2
5,,Манеж графа Г.И. Рибопьера (Здание Санкт-Петербургского атлетического общества),1887; 1891,арх. А.А. Степанов; арх. М.С. Шуцман,"2-я Красноармейская ул., 12",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-26 от 15.09.2009,,675
6,,Особняк и доходный дом Н.Г. Кудрявцева,"1878 (строительство дома); 1882, 1897 (строительство особняка)",гражд. инж. Н.Г. Кудрявцев,"4-я Красноармейская ул., 12/11, лит. А",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,677
7,,Дом Закуриной,1855,арх. Барч Г.М.,"5-я Красноармейская ул., 19",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,3
8,,"Дом, где в 1901-1907 гг. жил шахматист Чигорин М.И.",,,"9-я Красноармейская ул., 15",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,5
9,,Адмиралтейский бульвар,"2-я пол. 19 в., 1875",автор не установлен,Адмиралтейская наб.,Адмиралтейский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 849 от 31.10.1988,,6
10,,Набережная Адмиралтейская,19-20 вв.,,"Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10183
