oid,obj_type,name,short_name,name_en,type,address_manual,phone,www,email,description,description_en,obj_history,obj_history_en,obj_hints,work_time,work_time_en,coord
5827,Религиозные объекты,Армянская апостольская церковь,,St. Catherine's Church,,"Санкт-Петербург, Невский пр., д. 40-42",+7(812)5704108; +7(812)7105061,armenian-church.org,arm_church_spb@mail.ru,,,,,,,,"59.935299,30.332226"
5828,Религиозные объекты,Церковь Святого Воскресения,,St. Ressurection Church,,"Санкт-Петербург, наб. реки Смоленки, д.29",+7(812)3505301,armenian-church.org,,,,,,,,,"59.947793,30.253345"
5829,Религиозные объекты,Дацан Гунзэчойнэй,,Datsan Gunzechoinei,,"Санкт-Петербург, Приморский пр., д.91",+7(981)7559605,dazan.spb.ru,,,,,,,,,"59.983477,30.255959"
5830,Религиозные объекты,Коломяжская мечеть,,Kolomyazhskaya Mosque,,"Санкт-Петербург, Репищева ул., д.1",,,,,,,,,,,"60.019505,30.282217"
5831,Религиозные объекты,Соборная мечеть,,Saint Petersburg Mosque,,"Санкт-Петербург, Кронверкский пр., д.7",+7(812)4984075,dum-spb.ru,dum-spb@mail.ru,,,,,,,,"59.955133,30.323980"
5832,Религиозные объекты,Большая хоральная синагога,,Grand Choral Synagogue,,"Санкт-Петербург,  Лермонтовский пр., 2",+7(812)7138186,www.jewishpetersburg.ru,sinagoga@list.ru,,,,,,,,"59.924623,30.291793"
5833,Религиозные объекты,Собор Успения Пресвятой Девы Марии,,St. Mary's Church,,"Санкт-Петербург, ул. 1-я Красноармейская, д.11",+7(812)3164255,www.uspenie.spb.ru,,,,,,,,,"59.916171,30.312571"
5834,Религиозные объекты,Монастырский храм Святого Антония Чудотворца,,St. Anthony the Wonder Worker Monastery Cathedral,,"Санкт-Петербург, ул. 9-я Красноармейская, д.10",,,,,,,,,,,"59.913343,30.300130"
5835,Религиозные объекты,Базилика Святой Екатерины Александрийской,,Catholic Church of St. Catherine,,"Санкт-Петербург, Невский пр., д.32-34",+7(812)5715795,catherine.spb.ru,parish@catherine.spb.ru,,,,,,,,"59.935633,30.329100"
5836,Религиозные объекты,Церковь Лурдской Божией Матери,,Lourdskaya St. Mary Church,,"Санкт-Петербург, Ковенский пер., д.7",+7(911)2095953; +7(812)2725002; +7(812)2720442,www.kovensky.ru,,,,,,,,,"59.936967,30.356858"
5837,Религиозные объекты,Храм Святого Станислава,,St. Stanislav Cathedral,,"Санкт-Петербург, ул. Союза Печатников, д.22",+7(812)7140071,stan-mta.ru,ststanislas@list.ru,,,,,,,,"59.922512,30.288299"
5838,Религиозные объекты,Храм Святейшего Сердца Иисуса,,Jesus Holiest Heart Cathedral,,"Санкт-Петербург, ул. Бабушкина, д.57",+7(921)3750125,www.sacredheart.spb.ru,,,,,,,,,"59.880563,30.436718"
5839,Религиозные объекты,Храм Посещения Девой Марией Св. Елизаветы,,Visitation Cathedral,,"Санкт-Петербург, Минеральная ул., 21 литер Д",,www.visitmaria.ru,,,,,,,,,"59.966178,30.369174"
5840,Религиозные объекты,Церковь Рождества Иоанна Предтечи на Каменном острове,,Nativity of St John the Baptist Church on the Kamenny Island,,"Санкт-Петербург, Каменноостровский пр., д.83",+7(812)2341324,www.predtecha.info,,,,,,,,,"59.980848,30.300498"
